powf(y,t)*cosf(v)>z*2+w*3+x*7
v
begin data
-11.5586,22.324
-13.2277,22.3695
-10.8138,22.1968
-10.6667,22.1714
-10.6667,22.1714
-10.6667,22.1714
-10.6667,22.1714
-10.6667,22.1714
-10.6667,22.1714
-10.4,22.1291
-10.4,22.1291
-10.4,22.1291
-10.1719,22.0983
-8.92888,22.0723
-10.8662,22.206
-10.8662,22.206
-8.50283,22.1214
-7.75806,22.246
-7.75806,22.246
-7.75806,22.246
-7.75806,22.246
-7.11621,22.3487
-5.87315,22.3923
-5.87315,22.3923
-5.87315,22.3923
-5.87315,22.3923
-5.86879,22.392
-5.44711,22.3483
-4.72979,22.2321
-4.70234,22.2272
-4.04574,22.1188
-4.00039,22.1126
-4.00039,22.1126
-4.00039,22.1126
-2.86309,22.0577
-2.86309,22.0577
-2.86309,22.0577
-8,22.2031
-8,22.2031
-8,22.2031
-2.81742,22.0602
-2.81306,22.0604
-2.81306,22.0604
-2.81306,22.0604
-2.81306,22.0604
-2.43733,22.0933
-2.02563,22.1507
-2.26376,22.1152
-1.04345,22.3186
-1.04345,22.3186
-1.04345,22.3186
-1.04345,22.3186
-1.04345,22.3186
-1.04345,22.3186
-1.04345,22.3186
-1.04345,22.3186
-1.04345,22.3186
-1.04345,22.3186
-1.04345,22.3186
-10.8662,22.206
-1.04345,22.3186
-3.2411,22.0518
-0.185377,22.404
-0.10334,22.4061
0.242669,22.4018
-4.65232,22.2183
-1.59659,22.2244
0.383076,22.3941
0.383077,22.3941
0.383078,22.3941
0.562499,22.3796
1.4013e-45,22.407
0.562499,22.3796
1.4013e-45,22.407
0.5625,22.3796
0.5625,22.3796
0.899494,22.3397
1.45914,22.2488
1.76976,22.1938
1.76976,22.1938
1.76976,22.1938
1.92037,22.168
2.87035,22.0574
4.33333,22.1631
4.33333,22.1631
4.9177,22.2653
4.9177,22.2653
4.91771,22.2653
2.0459,22.1475
5.10163,22.2965
8.15736,22.1758
10.8576,22.2045
10.8576,22.2045
10.8576,22.2045
10.8576,22.2045
10.8576,22.2045
-10.8662,22.206
-10.8662,22.206
-10.8662,22.206
1.76976,22.1938
1.76976,22.1938
1.76976,22.1938
4.9177,22.2653
4.9177,22.2653
4.91771,22.2653
4.9177,22.2653
4.9177,22.2653
4.91771,22.2653
2.48132,22.0883
2.48132,22.0883
2.48132,22.0883
-5.44603,22.3482
-5.44603,22.3482
-5.44602,22.3482
-10.6667,22.1714
-10.6667,22.1714
-10.6667,22.1714
2.23077,22.1198
2.23077,22.1198
2.23077,22.1198
5.33333,22.3326
5.33333,22.3326
5.33333,22.3326
-1.32467,22.2724
-1.32467,22.2724
-1.32467,22.2724
-23.9522,22.2967
-23.9522,22.2967
-23.9522,22.2967
-38.0258,22.3976
-38.0258,22.3976
-38.0258,22.3976
-39.8418,22.1326
-36.7861,22.3378
-33.7303,22.1084
10.8576,22.2045
-10.8662,22.206
-10.8662,22.206
-10.8662,22.206
1.76976,22.1938
1.76976,22.1938
1.76976,22.1938
4.9177,22.2653
4.9177,22.2653
4.91771,22.2653
4.9177,22.2653
4.9177,22.2653
4.91771,22.2653
2.48132,22.0883
2.48132,22.0883
2.48132,22.0883
-5.44603,22.3482
-5.44603,22.3482
-5.44602,22.3482
-30.0668,22.2681
-27.0111,22.1751
-23.9554,22.2972
15.5275,22.0538
15.5275,22.0538
15.5275,22.0538
23.146,22.157
23.146,22.157
23.146,22.157
-34.8245,22.0572
-34.8245,22.0572
-34.8245,22.0572
-8.29936,22.1522
-8.29936,22.1522
-8.29935,22.1522
-43.6397,22.3967
-43.6397,22.3967
-43.6397,22.3967
-10.6667,22.1714
-10.6667,22.1714
-10.6667,22.1714
2.23077,22.1198
2.23077,22.1198
2.23077,22.1198
5.33333,22.3326
5.33333,22.3326
5.33333,22.3326
-1.32467,22.2724
-1.32467,22.2724
-1.32467,22.2724
-23.9522,22.2967
-23.9522,22.2967
-23.9522,22.2967
-38.0258,22.3976
-38.0258,22.3976
-38.0258,22.3976
16,22.0584
16,22.0584
16,22.0584
23.3803,22.1968
28.9443,22.0894
30.7689,22.371
30.7689,22.371
30.7689,22.371
32,22.3775
32,22.3775
32,22.3775
32,22.3775
35.0557,22.0725
1.76976,22.1938
4.9177,22.2653
4.9177,22.2653
4.9177,22.2653
4.91771,22.2653
10.8576,22.2045
10.8576,22.2045
10.8576,22.2045
4.9177,22.2653
4.91771,22.2653
2.48132,22.0883
2.48132,22.0883
2.48132,22.0883
-5.44603,22.3482
-5.44603,22.3482
-5.44602,22.3482
-10.6667,22.1714
-10.6667,22.1714
-10.6667,22.1714
2.23077,22.1198
2.23077,22.1198
2.23077,22.1198
5.33333,22.3326
5.33333,22.3326
5.33333,22.3326
-1.32467,22.2724
-1.32467,22.2724
-1.32467,22.2724
-23.9522,22.2967
-23.9522,22.2967
-23.9522,22.2967
0.243985,22.4018
0.243986,22.4018
0.243987,22.4018
-10.4,22.1291
-10.4,22.1291
-10.4,22.1291
4.33333,22.1631
4.33333,22.1631
4.33333,22.1631
15.5275,22.0538
15.5275,22.0538
15.5275,22.0538
3.33131,22.0541
3.33131,22.0541
3.33131,22.0541
-8,22.2031
-8,22.2031
-8,22.2031
2.88889,22.0565
2.88889,22.0565
2.88889,22.0565
-8,22.2031
-8,22.2031
-8,22.2031
15.5275,22.0538
15.5275,22.0538
15.5275,22.0538
23.146,22.157
23.146,22.157
23.146,22.157
-34.8245,22.0572
-34.8245,22.0572
-34.8245,22.0572
-8.29936,22.1522
-8.29936,22.1522
-8.29935,22.1522
-43.6397,22.3967
-43.6397,22.3967
-43.6397,22.3967
-10.6667,22.1714
-10.6667,22.1714
-10.6667,22.1714
2.23077,22.1198
2.23077,22.1198
2.23077,22.1198
5.33333,22.3326
5.33333,22.3326
5.33333,22.3326
-1.32467,22.2724
-1.32467,22.2724
-1.32467,22.2724
-23.9522,22.2967
-23.9522,22.2967
-23.9522,22.2967
-38.0258,22.3976
-38.0258,22.3976
-38.0258,22.3976
16,22.0584
16,22.0584
16,22.0584
28.9443,22.0894
30.7689,22.371
30.7689,22.371
30.7689,22.371
32,22.3775
35.0557,22.0725
65.1014,22.1144
65.1014,22.1144
65.1014,22.1144
5.33333,22.3326
5.33333,22.3326
5.33333,22.3326
-1.32467,22.2724
-1.32467,22.2724
-1.32467,22.2724
-23.9522,22.2967
-23.9522,22.2967
-23.9522,22.2967
0.243985,22.4018
0.243986,22.4018
0.243987,22.4018
-10.4,22.1291
-10.4,22.1291
-10.4,22.1291
4.33333,22.1631
4.33333,22.1631
4.33333,22.1631
23.146,22.157
23.146,22.157
23.146,22.157
-34.8245,22.0572
-34.8245,22.0572
-34.8245,22.0572
-23.4286,22.2053
-23.4286,22.2053
-23.4286,22.2053
32.7244,22.2752
32.7244,22.2752
32.7244,22.2752
-8,22.2031
-8,22.2031
-8,22.2031
4.68965,22.2249
4.68966,22.2249
4.68966,22.2249
-169.929,22.3999
-169.929,22.3999
-169.929,22.3999
16,22.0584
16,22.0584
16,22.0584
97.3568,22.051
97.3568,22.051
97.3568,22.051
61.1707,22.2129
61.1707,22.2129
61.1707,22.2129
-10.4,22.1291
-10.4,22.1291
-10.4,22.1291
4.33333,22.1631
4.33333,22.1631
4.33333,22.1631
23.146,22.157
23.146,22.157
23.146,22.157
-34.8245,22.0572
-34.8245,22.0572
-34.8245,22.0572
-8.29936,22.1522
-8.29936,22.1522
-8.29935,22.1522
20,22.3016
20,22.3016
20,22.3016
23.3803,22.1968
23.3803,22.1968
23.3803,22.1968
32,22.3775
32,22.3775
32,22.3775
-97.7138,22.0602
-94.658,22.3923
-91.6023,22.0724
5.33333,22.3326
10.8576,22.2045
10.8576,22.2045
10.8576,22.2045
15.5275,22.0538
15.5275,22.0538
15.5275,22.0538
-8,22.2031
2.88889,22.0565
2.88889,22.0565
2.88889,22.0565
-8,22.2031
-8,22.2031
-8,22.2031
15.5275,22.0538
15.5275,22.0538
15.5275,22.0538
23.146,22.157
23.146,22.157
23.146,22.157
-34.8245,22.0572
-34.8245,22.0572
-34.8245,22.0572
-8.29936,22.1522
-8.29936,22.1522
-8.29935,22.1522
-43.6397,22.3967
-43.6397,22.3967
-43.6397,22.3967
-10.6667,22.1714
-10.6667,22.1714
-10.6667,22.1714
2.23077,22.1198
2.23077,22.1198
2.23077,22.1198
5.33333,22.3326
5.33333,22.3326
5.33333,22.3326
-1.32467,22.2724
-1.32467,22.2724
-1.32467,22.2724
-23.9522,22.2967
-23.9522,22.2967
-23.9522,22.2967
-38.0258,22.3976
-38.0258,22.3976
-38.0258,22.3976
16,22.0584
16,22.0584
16,22.0584
30.7689,22.371
30.7689,22.371
30.7689,22.371
-8,22.2031
-8,22.2031
-8,22.2031
2.88889,22.0565
2.88889,22.0565
2.88889,22.0565
15.5275,22.0538
15.5275,22.0538
15.5275,22.0538
3.33131,22.0541
3.33131,22.0541
3.33131,22.0541
-8,22.2031
-8,22.2031
-8,22.2031
2.88889,22.0565
2.88889,22.0565
2.88889,22.0565
-9.71429,22.0583
-9.71429,22.0583
-9.71428,22.0583
-8,22.2031
-8,22.2031
-8,22.2031
2.88889,22.0565
2.88889,22.0565
2.88889,22.0565
97.3568,22.051
97.3568,22.051
97.3568,22.051
61.1707,22.2129
61.1707,22.2129
61.1707,22.2129
-10.4,22.1291
-10.4,22.1291
-10.4,22.1291
4.33333,22.1631
4.33333,22.1631
4.33333,22.1631
23.146,22.157
23.146,22.157
23.146,22.157
-34.8245,22.0572
-34.8245,22.0572
-34.8245,22.0572
-8.29936,22.1522
-8.29936,22.1522
-8.29935,22.1522
20,22.3016
20,22.3016
20,22.3016
23.3803,22.1968
23.3803,22.1968
23.3803,22.1968
32,22.3775
32,22.3775
32,22.3775
65.1014,22.1144
65.1014,22.1144
65.1014,22.1144
5.33333,22.3326
5.33333,22.3326
5.33333,22.3326
-1.32467,22.2724
-1.32467,22.2724
-1.32467,22.2724
-23.9522,22.2967
-23.9522,22.2967
-23.9522,22.2967
0.243985,22.4018
0.243986,22.4018
0.243987,22.4018
-10.4,22.1291
-10.4,22.1291
-10.4,22.1291
4.33333,22.1631
4.33333,22.1631
4.33333,22.1631
23.146,22.157
23.146,22.157
23.146,22.157
-34.8245,22.0572
-34.8245,22.0572
-34.8245,22.0572
-23.4286,22.2053
-23.4286,22.2053
-23.4286,22.2053
32.7244,22.2752
32.7244,22.2752
32.7244,22.2752
-8,22.2031
-8,22.2031
-8,22.2031
4.68965,22.2249
4.68966,22.2249
4.68966,22.2249
-169.929,22.3999
-169.929,22.3999
-169.929,22.3999
16,22.0584
16,22.0584
16,22.0584
97.3568,22.051
97.3568,22.051
97.3568,22.051
61.1707,22.2129
61.1707,22.2129
61.1707,22.2129
-10.4,22.1291
-10.4,22.1291
-10.4,22.1291
4.33333,22.1631
4.33333,22.1631
4.33333,22.1631
23.146,22.157
23.146,22.157
23.146,22.157
-34.8245,22.0572
-34.8245,22.0572
-34.8245,22.0572
-8.29936,22.1522
-8.29936,22.1522
-8.29935,22.1522
20,22.3016
20,22.3016
20,22.3016
23.3803,22.1968
23.3803,22.1968
23.3803,22.1968
32,22.3775
32,22.3775
32,22.3775
-97.7138,22.0602
-94.658,22.3923
-91.6023,22.0724

